lon,lat,time,elevation,distance_m,place_name,elevation_diff,slope
3.80427,44.99118,,931.0,10465.475077013303,Route de Liac,0.0,0.0
3.804,44.99096,,933.0,10497.86724169129,Route de Liac,2.0,0.0617433265075752
3.80375,44.99086,,933.0,10520.453752229969,Route de Liac,0.0,0.0
3.8033,44.99078,,935.0,10556.94237118604,Route de Liac,2.0,0.0548116113248273
3.80291,44.99065,,935.0,10590.847644137328,Route de Liac,0.0,0.0
3.80264,44.99048,,935.0,10619.27573233668,Route de Liac,0.0,0.0
3.80237,44.99042,,939.0,10641.531988119978,Route de Liac,4.0,0.1797247497039428
3.80205,44.99057,,939.0,10671.722380827852,Route de Liac,0.0,0.0
3.80142,44.99073,,944.0,10724.362905790636,Route de Liac,5.0,0.0949838551863811
3.80102,44.99072,,944.0,10755.838318611404,Route de Liac,0.0,0.0
3.80046,44.99046,,945.0,10808.5183752042,Route de Liac,1.0,0.0189825156743807
3.80038,44.99026,,945.0,10831.63009473789,Route de Liac,0.0,0.0
3.80006,44.99021,,945.0,10857.401771498267,Route de Liac,0.0,0.0
3.7995,44.99019,,946.0,10901.496363100265,Route de Liac,1.0,0.0226785182415601
3.79891,44.99005,,948.0,10950.436031481431,Route de Liac,2.0,0.0408666438935166
3.79851,44.98998,,950.0,10982.840889498224,Route de Liac,2.0,0.0617191409684178
3.7981,44.98998,,951.0,11015.083468197923,Route de Liac,1.0,0.0310148890172153
3.79757,44.98989,,951.0,11057.947539648349,Route de Liac,0.0,0.0
3.79713,44.98976,,953.0,11095.447504150512,Route de Liac,2.0,0.053333383819193
3.79689,44.98966,,953.0,11117.353284180024,Route de Liac,0.0,0.0
3.79671,44.98952,,953.0,11138.394081324395,Route de Liac,0.0,0.0
3.79491,44.9889,,960.0,11295.844297591882,Route de Liac,7.0,0.0444584972059226
3.79453,44.98874,,960.0,11330.623286476794,Route de Liac,0.0,0.0
3.79429,44.98866,,960.0,11351.48867002953,Route de Liac,0.0,0.0
3.79401,44.98852,,964.0,11378.45558623061,Route de Liac,4.0,0.1483299006150308
3.79363,44.98843,,964.0,11409.970874005388,Route de Liac,0.0,0.0
3.7931,44.98831,,965.0,11453.735227670231,Route de Liac,1.0,0.0228496462591034
3.79302,44.98788,,965.0,11501.961190335824,Route de Liac,0.0,0.0
3.79304,44.98762,,965.0,11530.91462521722,Route de Liac,0.0,0.0
3.79299,44.9874,,964.0,11555.691526047618,Route de Liac,-1.0,-0.0403601728418394
3.79276,44.98711,,964.0,11592.664761677444,Route de Liac,0.0,0.0
3.79223,44.98666,,968.0,11657.788764178773,Route de Liac,4.0,0.0614212862595248
3.79201,44.98634,,968.0,11697.35469478912,Route de Liac,0.0,0.0
3.7918,44.98607,,968.0,11731.620168370177,Route de Liac,0.0,0.0
3.7916,44.98591,,971.0,11755.367453419483,Route de Liac,3.0,0.1263302307514661
3.79149,44.98572,,968.0,11778.197100325566,Route de Liac,-3.0,-0.1314080770649467
3.79101,44.98542,,968.0,11828.574418838669,Route de Liac,0.0,0.0
3.7908,44.98558,,972.0,11852.84986826908,Route de Liac,4.0,0.1647755281098477
3.79048,44.98565,,972.0,11879.192908385194,Route de Liac,0.0,0.0
3.79022,44.98562,,972.0,11899.911286028211,Route de Liac,0.0,0.0
3.78951,44.98548,,975.0,11957.879701578824,Route de Liac,3.0,0.0517523201471784
3.78918,44.98544,,975.0,11984.21145744861,Route de Liac,0.0,0.0
3.7888,44.98533,,978.0,12016.503358887518,Route de Liac,3.0,0.0929025503708907
3.78828,44.9854,,981.0,12058.133805063682,Route de Liac,3.0,0.0720626434630344
3.78786,44.98555,,981.0,12095.137618733565,Route de Liac,0.0,0.0
3.78757,44.98559,,981.0,12118.374746150666,Route de Liac,0.0,0.0
3.78731,44.98566,,982.0,12140.2541557607,Route de Liac,1.0,0.0457050723864783
3.78638,44.9854,,986.0,12218.901945333657,Route de Liac,4.0,0.0508596620670379
3.78599,44.98501,,986.0,12272.018829007597,Route de Liac,0.0,0.0
3.7849,44.98457,,992.0,12370.72369111743,Lic,6.0,0.0607872790838161
3.78449,44.98434,,992.0,12411.880177769885,Lic,0.0,0.0
3.78422,44.98411,,989.0,12445.121709300773,Lic,-3.0,-0.0902485493850435
3.78328,44.98364,,994.0,12535.658464659164,Lic,5.0,0.0552261894101177
3.78283,44.98349,,994.0,12574.783926556747,Lic,0.0,0.0
3.78175,44.98327,,993.0,12663.177832695395,Lic,-1.0,-0.0113129970569633
3.78093,44.98306,,996.0,12731.76785051825,Lic,3.0,0.0437381428846978
3.7806,44.98292,,1000.0,12762.0329628419,Lic,4.0,0.1321653776541339
3.78029,44.98278,,1000.0,12790.960481696846,Lic,0.0,0.0
3.78,44.98269,,1003.0,12815.867981933136,Lic,3.0,0.120445647758303
3.77859,44.98247,,1000.0,12929.431402139053,Lic,-3.0,-0.0264169571025625
3.77815,44.98247,,1003.0,12964.037727434124,Lic,3.0,0.086689354458193
3.77678,44.98216,,1005.0,13077.168897570931,Lic,2.0,0.0176785937737711
3.77636,44.98216,,1007.0,13110.202386697483,Lic,2.0,0.0605446185941135
3.77599,44.98221,,1007.0,13139.829641376158,Lic,0.0,0.0
3.7757,44.98213,,1008.0,13164.311767347575,Lic,1.0,0.0408461259111003
3.77536,44.982,,1008.0,13194.710147167543,Lic,0.0,0.0
3.77505,44.98194,,1008.0,13219.98841074138,Lic,0.0,0.0
3.7747,44.98189,,1011.0,13248.07226647824,Lic,3.0,0.1068229387057644
3.77432,44.9818,,1011.0,13279.590831839196,Lic,0.0,0.0
3.77389,44.9818,,1011.0,13313.411044975965,Lic,0.0,0.0
3.77335,44.9818,,1011.0,13355.882940543068,Lic,0.0,0.0
3.77285,44.98174,,1013.0,13395.77070790571,Lic,2.0,0.0501406855344103
3.77246,44.98171,,1015.0,13426.625750023191,Lic,2.0,0.0648192276771169
3.77207,44.98171,,1015.0,13457.299944973907,Lic,0.0,0.0
3.7713,44.98175,,1016.0,13518.02490433885,Lic,1.0,0.0164676931933413
3.77003,44.98192,,1019.0,13619.685370139248,Lic,3.0,0.0295099965987791
3.76973,44.98193,,1021.0,13643.30700233259,Lic,2.0,0.0846681543269276
3.76945,44.98192,,1021.0,13665.357472921622,Lic,0.0,0.0
3.76908,44.98188,,1023.0,13694.796473565955,Lic,2.0,0.0679370887674759
3.76875,44.98189,,1023.0,13720.77529019644,Lic,0.0,0.0
3.76813,44.98202,,1027.0,13771.636615983256,Lic,4.0,0.078645216932918
3.76767,44.98205,,1027.0,13807.969691721366,Lic,0.0,0.0
3.76695,44.98212,,1027.0,13865.131032396272,Lic,0.0,0.0
3.76649,44.98211,,1031.0,13901.327679895616,Lic,4.0,0.110507471722973
3.76541,44.98197,,1034.0,13987.68581646714,Lic,3.0,0.0347390543508922
3.76489,44.98247,,1037.0,14056.705888660465,Lic,3.0,0.0434656166628901
3.76462,44.98277,,1036.0,14096.250049194616,Lic,-1.0,-0.0252881838049483
3.76435,44.98292,,1036.0,14123.252753729052,Lic,0.0,0.0
3.76355,44.98318,,1038.0,14192.496874023202,Lic,2.0,0.0288833187786049
3.76324,44.98309,,1039.0,14218.852250173675,Lic,1.0,0.0379429226997377
3.76293,44.98239,,1041.0,14300.418026435924,Lic,2.0,0.0245200878560842
3.76286,44.98214,,1041.0,14328.756706695114,Lic,0.0,0.0
3.76273,44.98187,,1041.0,14360.47267089658,Lic,0.0,0.0
3.76248,44.98177,,1040.0,14383.06189528586,Route du Gray,-1.0,-0.0442688948839954
3.76218,44.98168,,1040.0,14408.691953528723,Route du Gray,0.0,0.0
3.76183,44.98164,,1043.0,14436.577107526757,Route du Gray,3.0,0.1075841288239605
3.76134,44.98166,,1044.0,14475.180632181038,Route du Gray,1.0,0.0259043703639906
3.76103,44.98153,,1044.0,14503.525715209424,Route du Gray,0.0,0.0
3.76089,44.98123,,1044.0,14538.654578907448,Route du Gray,0.0,0.0
3.76041,44.9812,,1047.0,14576.554850370385,Route du Gray,3.0,0.0791551058660326
3.75956,44.98146,,1048.0,14649.392656432174,Route du Gray,1.0,0.0137291340042788
3.75835,44.98195,,1046.0,14759.054618528004,Route du Gray,-2.0,-0.0182378644497739
3.75359,44.98336,,1060.0,15164.935278702078,Route du Gray,14.0,0.0344928974787704
3.75311,44.98361,,1064.0,15211.817677471356,Route du Gray,4.0,0.0853198664105307
3.75281,44.98385,,1064.0,15247.439221156352,Route du Gray,0.0,0.0
3.75244,44.98407,,1069.0,15285.455581963606,Route du Gray,5.0,0.1315223207542234
3.75121,44.98462,,1069.0,15399.90338203747,Route du Gray,0.0,0.0
3.75014,44.98509,,1069.0,15498.963810699355,Route du Gray,0.0,0.0
3.74931,44.98542,,1072.0,15573.847405386026,Route du Gray,3.0,0.0400621793405169
3.74904,44.9855,,1075.0,15596.869992020109,Route du Gray,3.0,0.1303068177213006
3.74849,44.98559,,1075.0,15641.268152763343,Route du Gray,0.0,0.0
3.74741,44.98594,,1086.0,15734.697686743248,Route du Gray,11.0,0.1177357900807486
