lon,lat,time,elevation,distance_m,place_name,elevation_diff,slope
0.39692,43.96002,,134.0,499591.9409951146,Lieu inconnu,0.0,0.0
0.39615,43.95995,,141.0,499654.0620261326,Lieu inconnu,7.0,0.11268325533706337
0.39542,43.95987,,142.0,499713.16520034196,Lieu inconnu,1.0,0.01691956503821077
0.39504,43.95982,,142.0,499744.0847648053,Lieu inconnu,0.0,0.0
0.39383,43.95965,,138.0,499842.76212931797,Lieu inconnu,-4.0,-0.04053614544483863
0.39313,43.95964,,138.0,499898.802086449,Lieu inconnu,0.0,0.0
0.39177,43.9597,,138.0,500007.86249600473,Lieu inconnu,0.0,0.0
0.39096,43.95958,,137.0,500074.0548337595,Lieu inconnu,-1.0,-0.015107488780724003
0.39053,43.95955,,135.0,500108.6339287735,Lieu inconnu,-2.0,-0.05783841361924033
0.39001,43.95945,,135.0,500151.71524403297,Lieu inconnu,0.0,0.0
0.38893,43.95937,,127.0,500238.6167060232,Lieu inconnu,-8.0,-0.0920582901228604
0.38697,43.95919,,122.0,500396.770272349,Lieu inconnu,-5.0,-0.03161484192964993
0.38603,43.95913,,119.0,500472.3049476749,Lieu inconnu,-3.0,-0.039716858344276795
0.3857,43.95914,,117.0,500498.74220477266,Lieu inconnu,-2.0,-0.07565081326726383
0.38509,43.95925,,117.0,500549.0765367436,Lieu inconnu,0.0,0.0
0.38484,43.95926,,112.0,500569.11786902277,Lieu inconnu,-5.0,-0.24948441203182456
0.38369,43.95928,,110.0,500661.1928295322,Lieu inconnu,-2.0,-0.021721432069418407
0.38329,43.95925,,106.0,500693.38287567184,Lieu inconnu,-4.0,-0.12426201511633794
0.38268,43.95917,,106.0,500743.0121734154,Lieu inconnu,0.0,0.0
0.38225,43.95884,,106.0,500793.32203136233,Lieu inconnu,0.0,0.0
0.38063,43.95772,,90.0,500973.1110195619,Lieu inconnu,-16.0,-0.08899321454682944
0.38032,43.95704,,83.0,501052.69104333984,Lieu inconnu,-7.0,-0.0879617731647183
0.38016,43.9567,,83.0,501092.6076945834,Lieu inconnu,0.0,0.0
0.38014,43.95642,,83.0,501123.783405473,Lieu inconnu,0.0,0.0
0.37709,43.95703,,82.0,501377.1687554995,Lieu inconnu,-1.0,-0.003946558078024203
0.37677,43.95709,,82.0,501403.6377142426,Lieu inconnu,0.0,0.0
0.37602,43.95687,,82.0,501468.46421941824,Lieu inconnu,0.0,0.0
0.37566,43.95697,,84.0,501499.3513740487,Lieu inconnu,2.0,0.06475183693446221
0.37506,43.95721,,84.0,501554.2946483414,Lieu inconnu,0.0,0.0
